trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
65,False,"{'a': 0.5115840986124552, 'e': 0.5224985647159489}",35,8,-14.033922074292594,"{0: 23, 1: 1, 2: 2, 3: 1, 4: 0}",1
66,False,"{'a': 0.5164452162023662, 'e': 0.5090414157503713}",20,0,-72.54633782143775,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
67,False,"{'a': 0.5211789086629147, 'e': 0.4954586684324076}",25,0,-69.0250734255378,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
68,False,"{'a': 0.5257840080263182, 'e': 0.4817536741017152}",25,9,-30.730726518070448,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 0}",1
69,False,"{'a': 0.530259378053216, 'e': 0.4679298142605735}",30,9,8.635489747824115,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.5346039145130207, 'e': 0.4539904997395468}",20,0,-25.29189109093901,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
71,False,"{'a': 0.5388165454563693, 'e': 0.43993916985591525}",35,13,-11.30104351237203,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 1}",1
72,False,"{'a': 0.5428962314796117, 'e': 0.42577929156507266}",20,1,-32.274230035597675,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 0}",1
73,False,"{'a': 0.5468419659812671, 'e': 0.4115143586051089}",25,0,-25.44686170331788,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
74,False,"{'a': 0.5506527754103887, 'e': 0.39714789063478056}",20,0,-47.5291170614176,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
75,False,"{'a': 0.5543277195067721, 'e': 0.38268343236508984}",30,18,-85.82917634851604,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 2}",1
76,False,"{'a': 0.5578658915329507, 'e': 0.3681245526846781}",30,0,-107.64691025591651,"{0: 21, 1: 4, 2: 2, 3: 1, 4: 2}",0
77,False,"{'a': 0.5612664184979204, 'e': 0.35347484377925714}",20,6,-31.938399691792036,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
78,False,"{'a': 0.5645284613725352, 'e': 0.3387379202452915}",30,18,20.517334141670226,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5676512152965272, 'e': 0.32391741819814934}",20,0,-47.898976796414615,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
80,False,"{'a': 0.570633909777092, 'e': 0.30901699437494745}",25,0,12.16888672041931,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
81,False,"{'a': 0.5734758088789981, 'e': 0.2940403252323039}",25,0,4.737991385980891,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
82,False,"{'a': 0.5761762114061658, 'e': 0.27899110603922944}",20,6,15.178728899733839,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.5787344510746788, 'e': 0.263873049965373}",30,22,15.975121936429067,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5811498966771786, 'e': 0.24868988716485496}",25,0,-10.000786795342039,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
85,False,"{'a': 0.5834219522386059, 'e': 0.23344536385590545}",20,0,17.191693533171744,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
86,False,"{'a': 0.5855500571632484, 'e': 0.21814324139654268}",30,10,-13.243209210343641,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
87,False,"{'a': 0.5875336863730595, 'e': 0.2027872953565125}",30,6,38.85414347074849,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5893723504372131, 'e': 0.1873813145857247}",20,12,11.090452525413207,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5910655956928643, 'e': 0.1719291002794095}",20,14,10.204646021134735,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5926130043570826, 'e': 0.15643446504023092}",35,13,32.63683109704949,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5940141946299345, 'e': 0.14090123193758258}",20,5,31.14001004755572,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5952688207886867, 'e': 0.12533323356430426}",30,22,16.076443747451755,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5963765732731078, 'e': 0.10973431109104514}",20,10,22.36576666566871,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.597337178761848, 'e': 0.0941083133185145}",30,16,27.015039046734838,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5981504002398768, 'e': 0.078459095727845}",20,0,33.7457724972931,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
96,False,"{'a': 0.598816037056963, 'e': 0.06279051952931351}",25,3,32.02746806684163,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.599333924977182, 'e': 0.04710645070964268}",20,10,4.691582526998465,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.599703936219439, 'e': 0.031410759078128396}",20,14,9.28793268321226,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5999259794889963, 'e': 0.015707317311820648}",20,13,9.3191700524586,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.6, 'e': 6.123233995736766e-17}",25,15,20.22869349122752,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,14,12.294394069794741,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,6,28.73520342735059,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,8,32.149355523639336,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,8,19.222092723769766,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,13,13.035873813247107,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,15,10.207357618179945,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,13,20.8317473711497,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,8,26.149068095736148,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,17,14.649458284837229,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,7,34.92495507613611,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
